member_id,first_name,last_name,neighborhood,grade,book_id,checkout_date,genre,pages,publication_year,publisher,Member ID,Book ID,Checkout Date
1047.0,Sara,Rashad,Heliopolis,,517.0,2024-10-21,Mystery,338.0,2015.0,Delta House,,,
1072.0,Seif,Zaki,Zamalek,9.0,513.0,2025-08-24,Science,294.0,2021.0,Oasis Books,,,
1053.0,Adam,Shafik,Heliopolis,9.0,523.0,2024-02-04,Historical,276.0,2018.0,Oasis Books,,,
1032.0,Nada,Zaki,Nasr City,7.0,513.0,2025-06-21,Science,294.0,2021.0,Oasis Books,,,
1079.0,Rana,Osman,Shubra,8.0,511.0,2025-11-11,Historical,117.0,2016.0,Nile Press,,,
1010.0,Nour,Nabil,Maadi ,6.0,528.0,2025-11-11,Nature,114.0,2010.0,Delta House,,,
1057.0,Ahmed,Fahmy,Heliopolis,8.0,513.0,2024-03-28,Science,294.0,2021.0,Oasis Books,,,
1010.0,Nour,Nabil,Maadi ,6.0,501.0,2025-02-17,Adventure,128.0,2017.0,Nile Press,,,
1024.0,Youssef,Hegazy,Nasr City,8.0,506.0,2025-06-13,Friendship,183.0,,Nile Press,,,
1016.0,Dina,Rashad,Maadi,8.0,506.0,2024-04-15,Friendship,183.0,,Nile Press,,,
1044.0,Sherif,Saleh,Heliopolis,7.0,525.0,2024-07-10,Adventure,297.0,2015.0,Oasis Books,,,
1065.0,Adam,Fahmy,Zamalek,6.0,515.0,2025-02-10,Poetry,316.0,2022.0,Cairo Young Readers,,,
1018.0,Ahmed,Shafik,Maadi,9.0,501.0,2025-10-05,Adventure,128.0,2017.0,Nile Press,,,
1041.0,Nada,Rashad,Nasr City,7.0,519.0,2025-07-27,Friendship,157.0,2014.0,Nile Press,,,
1032.0,Nada,Zaki,Nasr City,7.0,525.0,2024-03-04,Adventure,297.0,2015.0,Oasis Books,,,
1070.0,Ahmed,Zaki,Zamalek,9.0,501.0,2024-07-11,Adventure,128.0,2017.0,Nile Press,,,
1034.0,Aya,Wahba,Nasr City,9.0,505.0,2025-12-16,Historical,216.0,2024.0,Oasis Books,,,
1027.0,Mostafa,Fouad,Nasr City,9.0,507.0,2024-06-26,Science,160.0,2024.0,Nile Press,,,
1024.0,Youssef,Hegazy,Nasr City,8.0,501.0,2025-11-07,Adventure,128.0,2017.0,Nile Press,,,
1008.0,Ziad,Saleh,Maadi,8.0,513.0,2025-04-20,Science,294.0,2021.0,Oasis Books,,,
1044.0,Sherif,Saleh,Heliopolis,7.0,518.0,2025-01-24,Adventure,163.0,2011.0,Delta House,,,
1072.0,Seif,Zaki,Zamalek,9.0,513.0,2025-09-17,Science,294.0,2021.0,Oasis Books,,,
1018.0,Ahmed,Shafik,Maadi,9.0,507.0,2025-03-09,Science,160.0,2024.0,Nile Press,,,
1065.0,Adam,Fahmy,Zamalek,6.0,526.0,2024-03-25,Science Fiction,125.0,2016.0,Delta House,,,
1076.0,Dina,Wahba,Shubra,7.0,501.0,2025-06-05,Adventure,128.0,2017.0,Nile Press,,,
1059.0,Lina,Halim,Heliopolis,7.0,516.0,2025-08-06,Nature,241.0,2010.0,Nile Press,,,
1059.0,Lina,Halim,Heliopolis,7.0,521.0,2025-07-09,Science,211.0,2024.0,Cairo Young Readers,,,
1053.0,Adam,Shafik,Heliopolis,9.0,525.0,2024-02-13,Adventure,297.0,2015.0,Oasis Books,,,
1030.0,Reem,Osman,Nasr City,,525.0,2025-01-03,Adventure,297.0,2015.0,Oasis Books,,,
1018.0,Ahmed,Shafik,Maadi,9.0,515.0,2024-10-22,Poetry,316.0,2022.0,Cairo Young Readers,,,
1040.0,Dina,Adel,Nasr City,9.0,519.0,2025-10-11,Friendship,157.0,2014.0,Nile Press,,,
1050.0,Fares,Adel,Heliopolis,6.0,519.0,2024-03-17,Friendship,157.0,2014.0,Nile Press,,,
1020.0,Rana,Fouad,Maadi,6.0,530.0,2025-12-28,Adventure,208.0,2012.0,Oasis Books,,,
1032.0,Nada,Zaki,Nasr City,7.0,507.0,2025-12-08,Science,160.0,2024.0,Nile Press,,,
1065.0,Adam,Fahmy,Zamalek,6.0,519.0,2025-03-20,Friendship,157.0,2014.0,Nile Press,,,
1052.0,Retaj,Adel,Heliopolis,7.0,507.0,2024-09-02,Science,160.0,2024.0,Nile Press,,,
1077.0,Lina,Rashad,Shubra,6.0,520.0,2024-03-04,Science Fiction,136.0,2009.0,Oasis Books,,,
1027.0,Mostafa,Fouad,Nasr City,9.0,510.0,2024-09-12,Mystery,134.0,2013.0,Cairo Young Readers,,,
1068.0,Layla,Hegazy,Zamalek,8.0,501.0,2025-05-28,Adventure,128.0,2017.0,Nile Press,,,
1022.0,Youssef,Fouad,Maadi,7.0,513.0,2024-04-22,Science,294.0,2021.0,Oasis Books,,,
1061.0,Ziad,Fahmy,zamalek,9.0,507.0,2024-06-22,Science,160.0,2024.0,Nile Press,,,
1027.0,Mostafa,Fouad,Nasr City,9.0,532.0,2025-03-10,Friendship,337.0,2017.0,Oasis Books,,,
1014.0,Habiba,Nabil,Maadi,6.0,513.0,2024-03-06,Science,294.0,2021.0,Oasis Books,,,
1024.0,Youssef,Hegazy,Nasr City,8.0,518.0,2025-10-02,Adventure,163.0,2011.0,Delta House,,,
1050.0,Fares,Adel,Heliopolis,6.0,505.0,2024-01-09,Historical,216.0,2024.0,Oasis Books,,,
1020.0,Rana,Fouad,Maadi,6.0,532.0,2025-05-25,Friendship,337.0,2017.0,Oasis Books,,,
1065.0,Adam,Fahmy,Zamalek,6.0,513.0,2024-08-25,Science,294.0,2021.0,Oasis Books,,,
1027.0,Mostafa,Fouad,Nasr City,9.0,532.0,2025-07-05,Friendship,337.0,2017.0,Oasis Books,,,
1018.0,Ahmed,Shafik,Maadi,9.0,513.0,2025-01-08,Science,294.0,2021.0,Oasis Books,,,
1036.0,Lina,Zaki,Nasr City,7.0,521.0,2024-03-14,Science,211.0,2024.0,Cairo Young Readers,,,
1005.0,Youssef,Halim,Maadi,9.0,505.0,2024-01-26,Historical,216.0,2024.0,Oasis Books,,,
1034.0,Aya,Wahba,Nasr City,9.0,502.0,2024-08-11,Adventure,109.0,2018.0,Delta House,,,
1054.0,Retaj,Fahmy,Heliopolis,6.0,507.0,2025-01-26,Science,160.0,2024.0,Nile Press,,,
1010.0,Nour,Nabil,Maadi ,6.0,519.0,2025-07-11,Friendship,157.0,2014.0,Nile Press,,,
1020.0,Rana,Fouad,Maadi,6.0,519.0,2025-02-03,Friendship,157.0,2014.0,Nile Press,,,
1034.0,Aya,Wahba,Nasr City,9.0,513.0,2025-03-06,Science,294.0,2021.0,Oasis Books,,,
1058.0,Lina,Mansour,Heliopolis,8.0,525.0,2024-11-22,Adventure,297.0,2015.0,Oasis Books,,,
1057.0,Ahmed,Fahmy,Heliopolis,8.0,519.0,2024-10-17,Friendship,157.0,2014.0,Nile Press,,,
1006.0,Layla,Mansour,Maadi,6.0,501.0,2025-03-18,Adventure,128.0,2017.0,Nile Press,,,
1079.0,Rana,Osman,Shubra,8.0,503.0,2024-06-23,Historical,259.0,,Nile Press,,,
1044.0,Sherif,Saleh,Heliopolis,7.0,532.0,2025-04-23,Friendship,337.0,2017.0,Oasis Books,,,
1075.0,Malak,Fahmy,Shubra,7.0,515.0,2024-11-10,Poetry,316.0,2022.0,Cairo Young Readers,,,
1053.0,Adam,Shafik,Heliopolis,9.0,525.0,2024-12-02,Adventure,297.0,2015.0,Oasis Books,,,
1001.0,Salma,Ibrahim,Maadi,8.0,525.0,2024-10-24,Adventure,297.0,2015.0,Oasis Books,,,
1024.0,Youssef,Hegazy,Nasr City,8.0,525.0,2025-10-14,Adventure,297.0,2015.0,Oasis Books,,,
1015.0,Hamza,Sabry,Maadi,7.0,511.0,2025-10-13,Historical,117.0,2016.0,Nile Press,,,
1041.0,Nada,Rashad,Nasr City,7.0,509.0,2025-03-24,Mystery,221.0,2011.0,Nile Press,,,
1027.0,Mostafa,Fouad,Nasr City,9.0,507.0,2025-05-23,Science,160.0,2024.0,Nile Press,,,
1067.0,Aya,Ibrahim,Zamalek,7.0,513.0,2025-07-23,Science,294.0,2021.0,Oasis Books,,,
1065.0,Adam,Fahmy,Zamalek,6.0,501.0,2024-12-15,Adventure,128.0,2017.0,Nile Press,,,
1075.0,Malak,Fahmy,Shubra,7.0,532.0,2024-07-28,Friendship,337.0,2017.0,Oasis Books,,,
1027.0,Mostafa,Fouad,Nasr City,9.0,529.0,2025-02-09,Mystery,298.0,,Cairo Young Readers,,,
1022.0,Youssef,Fouad,Maadi,7.0,527.0,2024-11-22,Nature,328.0,2017.0,Delta House,,,
1054.0,Retaj,Fahmy,Heliopolis,6.0,517.0,2024-09-06,Mystery,338.0,2015.0,Delta House,,,
1044.0,Sherif,Saleh,Heliopolis,7.0,507.0,2025-04-28,Science,160.0,2024.0,Nile Press,,,
1067.0,Aya,Ibrahim,Zamalek,7.0,507.0,2024-11-26,Science,160.0,2024.0,Nile Press,,,
1076.0,Dina,Wahba,Shubra,7.0,519.0,2025-03-06,Friendship,157.0,2014.0,Nile Press,,,
1031.0,Ali,Fahmy,NASR CITY,8.0,521.0,2024-07-28,Science,211.0,2024.0,Cairo Young Readers,,,
1008.0,Ziad,Saleh,Maadi,8.0,501.0,2025-08-23,Adventure,128.0,2017.0,Nile Press,,,
1070.0,Ahmed,Zaki,Zamalek,9.0,501.0,2024-01-28,Adventure,128.0,2017.0,Nile Press,,,
1018.0,Ahmed,Shafik,Maadi,9.0,510.0,2024-07-01,Mystery,134.0,2013.0,Cairo Young Readers,,,
1032.0,Nada,Zaki,Nasr City,7.0,507.0,2025-02-09,Science,160.0,2024.0,Nile Press,,,
1030.0,Reem,Osman,Nasr City,,519.0,2025-03-27,Friendship,157.0,2014.0,Nile Press,,,
1044.0,Sherif,Saleh,Heliopolis,7.0,509.0,2025-05-24,Mystery,221.0,2011.0,Nile Press,,,
1068.0,Layla,Hegazy,Zamalek,8.0,519.0,2024-04-16,Friendship,157.0,2014.0,Nile Press,,,
1061.0,Ziad,Fahmy,zamalek,9.0,510.0,2025-10-20,Mystery,134.0,2013.0,Cairo Young Readers,,,
1061.0,Ziad,Fahmy,zamalek,9.0,507.0,2024-01-26,Science,160.0,2024.0,Nile Press,,,
1044.0,Sherif,Saleh,Heliopolis,7.0,513.0,2025-04-26,Science,294.0,2021.0,Oasis Books,,,
1034.0,Aya,Wahba,Nasr City,9.0,516.0,2025-07-17,Nature,241.0,2010.0,Nile Press,,,
1072.0,Seif,Zaki,Zamalek,9.0,520.0,2025-06-03,Science Fiction,136.0,2009.0,Oasis Books,,,
1023.0,Hassan,Rashad,Nasr City,8.0,507.0,2025-05-11,Science,160.0,2024.0,Nile Press,,,
1079.0,Rana,Osman,Shubra,8.0,528.0,2025-04-22,Nature,114.0,2010.0,Delta House,,,
1010.0,Nour,Nabil,Maadi ,6.0,515.0,2024-11-27,Poetry,316.0,2022.0,Cairo Young Readers,,,
1034.0,Aya,Wahba,Nasr City,9.0,531.0,2025-12-28,Friendship,272.0,2018.0,Oasis Books,,,
1008.0,Ziad,Saleh,Maadi,8.0,525.0,2024-06-03,Adventure,297.0,2015.0,Oasis Books,,,
1019.0,Mostafa,Wahba,Maadi,6.0,507.0,2025-03-20,Science,160.0,2024.0,Nile Press,,,
1016.0,Dina,Rashad,Maadi,8.0,529.0,2025-01-23,Mystery,298.0,,Cairo Young Readers,,,
1024.0,Youssef,Hegazy,Nasr City,8.0,518.0,2025-10-22,Adventure,163.0,2011.0,Delta House,,,
1020.0,Rana,Fouad,Maadi,6.0,522.0,2025-02-26,Mystery,104.0,2016.0,Cairo Young Readers,,,
1065.0,Adam,Fahmy,Zamalek,6.0,516.0,2025-02-19,Nature,241.0,2010.0,Nile Press,,,
1044.0,Sherif,Saleh,Heliopolis,7.0,510.0,2025-02-01,Mystery,134.0,2013.0,Cairo Young Readers,,,
1026.0,Nada,Saleh,Nasr City,7.0,501.0,2024-12-15,Adventure,128.0,2017.0,Nile Press,,,
1044.0,Sherif,Saleh,Heliopolis,7.0,516.0,2024-12-05,Nature,241.0,2010.0,Nile Press,,,
1065.0,Adam,Fahmy,Zamalek,6.0,525.0,2025-02-17,Adventure,297.0,2015.0,Oasis Books,,,
1044.0,Sherif,Saleh,Heliopolis,7.0,527.0,2025-10-20,Nature,328.0,2017.0,Delta House,,,
1072.0,Seif,Zaki,Zamalek,9.0,519.0,2024-01-23,Friendship,157.0,2014.0,Nile Press,,,
1072.0,Seif,Zaki,Zamalek,9.0,529.0,2024-11-13,Mystery,298.0,,Cairo Young Readers,,,
1062.0,Tarek,Adel,Zamalek,7.0,501.0,2024-08-15,Adventure,128.0,2017.0,Nile Press,,,
1024.0,Youssef,Hegazy,Nasr City,8.0,501.0,2025-06-12,Adventure,128.0,2017.0,Nile Press,,,
1027.0,Mostafa,Fouad,Nasr City,9.0,511.0,2025-03-23,Historical,117.0,2016.0,Nile Press,,,
1015.0,Hamza,Sabry,Maadi,7.0,501.0,2024-08-04,Adventure,128.0,2017.0,Nile Press,,,
1005.0,Youssef,Halim,Maadi,9.0,513.0,2025-07-15,Science,294.0,2021.0,Oasis Books,,,
1008.0,Ziad,Saleh,Maadi,8.0,516.0,2025-07-20,Nature,241.0,2010.0,Nile Press,,,
1019.0,Mostafa,Wahba,Maadi,6.0,501.0,2024-06-20,Adventure,128.0,2017.0,Nile Press,,,
1030.0,Reem,Osman,Nasr City,,519.0,2025-08-27,Friendship,157.0,2014.0,Nile Press,,,
1018.0,Ahmed,Shafik,Maadi,9.0,519.0,2024-11-04,Friendship,157.0,2014.0,Nile Press,,,
1024.0,Youssef,Hegazy,Nasr City,8.0,513.0,2024-09-17,Science,294.0,2021.0,Oasis Books,,,
1034.0,Aya,Wahba,Nasr City,9.0,526.0,2025-06-06,Science Fiction,125.0,2016.0,Delta House,,,
1037.0,Retaj,Kamel,Nasr City,,525.0,2024-05-19,Adventure,297.0,2015.0,Oasis Books,,,
1059.0,Lina,Halim,Heliopolis,7.0,519.0,2025-01-04,Friendship,157.0,2014.0,Nile Press,,,
1030.0,Reem,Osman,Nasr City,,513.0,2025-05-04,Science,294.0,2021.0,Oasis Books,,,
1034.0,Aya,Wahba,Nasr City,9.0,519.0,2024-09-15,Friendship,157.0,2014.0,Nile Press,,,
